# ao_strehl_timeline predicted Strehl vs time
# night=2026-05-24 telescope=K1 tomography=on target=on wavelength=K-band (2200 nm)
# budget=refined-2026-07 tt_star=R15.2@19.3arcsec lgs_offset=4.97arcsec ngs_offset=0arcsec ltao_bw_factor=1.443(floor_frac=0.7) ltao_tt_theta0_gain=1 ngs_seeing_law=kolmogorov(anchor_sK=0.3) assumed_theta0=15arcsec(K,zenith)
# merged timeline, two row types by source= column:
#   source=dimm : one row per DIMM sample -- dimm seeing, r0, NGS Strehl (MASS-derived cols blank)
#   source=mass : one row per MASS profile -- mass seeing, LGS/LTAO Strehl, theta0, d0, plus the matched DIMM total seeing used as input (NGS cols blank)
# Strehl columns + theta0 are at the science wavelength; seeing columns are 500nm LINE-OF-SIGHT (zenith x airmass^(3/5)); r0 is 500nm at ZENITH; d0 is wavelength-independent (m)
# err_*_nm columns: per-sample error-budget terms in nm RMS on mass rows (line-of-sight-projected inputs). err_focal_single is the single-beacon focal-aniso (cone) term; err_alt_ltao is tomography + quadratic layer-mismatch. Fixed terms not tabulated: HO measurement 63.3, Na focus 42, static 122.5 (=K1: tel-aberr 74.7 + WFS-calib 57.9 + DM 33.6 + AO/instr 67.1 + registration 21.2, quad), margin 130 nm.
source,utc_iso,hst_iso,dimm_seeing_arcsec_los,mass_seeing_arcsec_los,zenith_factor,airmass,r0_cm_500nm,ngs_R8_strehl,ngs_R12_strehl,single_lgs_strehl,ltao_strehl,theta0_arcsec,d0_m,layer_mismatch,ngs_theta0_arcsec,err_fit_nm,err_scint_nm,err_ang_nm,err_bw_single_nm,err_bw_ltao_nm,err_focal_single_nm,err_alt_ltao_nm,err_tt_nm
dimm,2026-05-25T07:51:06,2026-05-24T21:51:06,0.5600,,1.0000,1.0000,18.05,0.4688,0.4284,,,,,,,,,,,,,,
dimm,2026-05-25T07:53:16,2026-05-24T21:53:16,0.5200,,1.0000,1.0000,19.44,0.4782,0.4372,,,,,,,,,,,,,,
dimm,2026-05-25T07:55:10,2026-05-24T21:55:10,0.5900,,1.0000,1.0000,17.13,0.4615,0.4217,,,,,,,,,,,,,,
mass,2026-05-25T07:56:02,2026-05-24T21:56:02,0.5700,0.5643,1.0000,1.0000,,,,0.2348,0.2737,9.688,0.716,0.518,,108.2,26.4,84.2,65.7,94.8,207.7,140.1,270.2
dimm,2026-05-25T07:56:32,2026-05-24T21:56:32,0.5700,,1.0000,1.0000,17.73,0.4664,0.4262,,,,,,,,,,,,,,
dimm,2026-05-25T07:57:53,2026-05-24T21:57:53,0.5900,,1.0000,1.0000,17.13,0.4615,0.4217,,,,,,,,,,,,,,
mass,2026-05-25T07:58:47,2026-05-24T21:58:47,0.7500,0.7425,1.0000,1.0000,,,,0.1241,0.1619,7.060,0.533,0.522,,136.0,33.2,105.9,82.6,119.2,261.1,167.9,335.1
dimm,2026-05-25T07:59:18,2026-05-24T21:59:18,0.7500,,1.0000,1.0000,13.48,0.4205,0.3840,,,,,,,,,,,,,,
mass,2026-05-25T08:00:10,2026-05-24T22:00:10,0.6700,0.6633,1.0000,1.0000,,,,0.1671,0.2106,7.344,0.560,0.469,,123.8,30.2,96.4,75.2,108.5,237.7,148.4,306.5
dimm,2026-05-25T08:00:40,2026-05-24T22:00:40,0.6700,,1.0000,1.0000,15.09,0.4414,0.4032,,,,,,,,,,,,,,
mass,2026-05-25T08:01:32,2026-05-24T22:01:32,0.6700,0.6633,1.0000,1.0000,,,,0.1671,0.2124,7.398,0.567,0.443,,123.8,30.2,96.4,75.2,108.5,237.7,144.9,306.5
mass,2026-05-25T08:02:59,2026-05-24T22:02:59,0.6100,0.5900,1.0000,1.0000,,,,0.2097,0.2485,7.429,0.569,0.514,,114.5,28.0,87.4,68.4,98.7,215.6,143.7,284.8
dimm,2026-05-25T08:03:28,2026-05-24T22:03:28,0.6100,,1.0000,1.0000,16.57,0.4566,0.4172,,,,,,,,,,,,,,
mass,2026-05-25T08:04:23,2026-05-24T22:04:23,0.5100,0.4900,1.0000,1.0000,,,,0.2878,0.3156,12.725,0.940,0.613,,98.6,24.1,74.9,58.7,84.6,184.7,138.2,248.1
dimm,2026-05-25T08:04:54,2026-05-24T22:04:54,0.5100,,1.0000,1.0000,19.82,0.4806,0.4393,,,,,,,,,,,,,,
mass,2026-05-25T08:05:49,2026-05-24T22:05:49,0.5300,0.5247,1.0000,1.0000,,,,0.2661,0.3036,11.632,0.865,0.518,,101.8,24.9,79.3,61.9,89.3,195.5,133.9,255.5
dimm,2026-05-25T08:06:19,2026-05-24T22:06:19,0.5300,,1.0000,1.0000,19.07,0.4759,0.4350,,,,,,,,,,,,,,
mass,2026-05-25T08:07:16,2026-05-24T22:07:16,0.4800,0.4752,1.0000,1.0000,,,,0.3086,0.3363,11.917,0.879,0.615,,93.8,22.9,73.0,57.0,82.2,180.0,135.6,236.9
dimm,2026-05-25T08:07:47,2026-05-24T22:07:47,0.4800,,1.0000,1.0000,21.06,0.4874,0.4456,,,,,,,,,,,,,,
dimm,2026-05-25T08:09:14,2026-05-24T22:09:14,0.5000,,1.0000,1.0000,20.21,0.4829,0.4414,,,,,,,,,,,,,,
dimm,2026-05-25T08:10:42,2026-05-24T22:10:42,0.4400,,1.0000,1.0000,22.97,0.4962,0.4537,,,,,,,,,,,,,,
dimm,2026-05-25T08:12:09,2026-05-24T22:12:09,0.4000,,1.0000,1.0000,25.27,0.5046,0.4615,,,,,,,,,,,,,,
dimm,2026-05-25T08:13:55,2026-05-24T22:13:55,0.4600,,1.0000,1.0000,21.97,0.4918,0.4497,,,,,,,,,,,,,,
dimm,2026-05-25T08:15:55,2026-05-24T22:15:55,0.5100,,1.0000,1.0000,19.82,0.4806,0.4393,,,,,,,,,,,,,,
mass,2026-05-25T08:16:53,2026-05-24T22:16:53,0.4800,0.3500,1.0000,1.0000,,,,0.3522,0.3646,15.179,1.129,0.652,,93.8,22.9,56.6,46.3,66.8,139.5,113.6,236.9
dimm,2026-05-25T08:17:23,2026-05-24T22:17:23,0.4800,,1.0000,1.0000,21.06,0.4874,0.4456,,,,,,,,,,,,,,
